obj,rel,sbj
29,3,36
30,3,54
86,3,103
2,3,74
60,3,74
74,3,99
19,3,23
38,3,74
35,3,68
47,3,82
3,3,32
84,3,95
12,3,37
92,3,103
48,3,73
5,3,30
24,3,100
60,3,75
18,3,39
1,3,73
45,3,64
68,3,89
39,3,101
39,3,41
79,3,96
18,3,20
14,3,69
18,3,40
15,3,89
67,3,68
85,3,95
40,3,41
52,3,77
29,3,45
64,3,88
56,3,86
2,3,51
46,3,63
52,3,78
24,3,79
44,3,55
27,3,79
54,3,102
35,3,67
3,3,59
50,3,70
53,3,103
77,3,94
10,3,101
22,3,49
63,3,69
4,3,10
66,3,100
54,3,101
5,3,54
77,3,89
10,3,62
21,3,67
13,3,39
16,3,90
13,3,99
3,3,68
57,3,69
54,3,61
10,3,13
15,3,64
61,3,80
1,3,49
69,3,99
51,3,97
21,3,33
1,3,35
6,3,93
56,3,91
42,3,98
6,3,56
54,3,75
10,3,14
24,3,33
12,3,52
45,3,92
32,3,89
54,3,80
21,3,70
77,3,79
34,3,54
1,3,96
41,3,60
39,3,95
68,3,94
51,3,101
29,3,78
24,3,78
4,3,51
24,3,88
14,3,101
46,3,61
53,3,82
32,3,52
11,3,38
18,3,63
22,3,70
2,3,46
3,3,78
81,3,87
2,3,97
4,3,95
13,3,14
20,3,55
54,3,95
10,3,39
24,3,94
39,3,75
8,3,45
5,3,75
3,3,94
82,3,88
16,3,49
5,3,86
39,3,63
1,3,24
10,3,60
18,3,102
24,3,64
53,3,92
3,3,29
43,3,51
33,3,59
73,3,100
56,3,82
7,3,68
28,3,41
10,3,74
15,3,79
10,3,61
35,3,78
14,3,80
56,3,83
25,3,44
39,3,60
17,3,45
66,3,79
68,3,77
23,3,31
45,3,94
4,3,74
12,3,33
108,2,112
104,2,108
104,2,112
104,2,110
110,2,112
106,2,112
106,2,110
108,2,110
106,2,108
104,1,101
106,0,68
107,0,33
107,0,1
107,1,60
113,0,31
106,0,39
106,0,63
107,1,14
106,0,57
104,1,90
107,1,31
104,0,0
109,0,60
107,0,96
106,0,85
105,0,93
106,0,35
108,1,35
106,0,62
109,0,14
106,0,31
106,0,78
105,0,38
106,1,103
109,0,9
105,0,3
107,1,67
106,0,50
106,0,1
104,0,35
106,0,49
106,0,79
105,1,45
106,0,82
104,0,2
107,0,30
106,0,30
107,1,21
106,0,10
105,0,1
106,0,83
106,0,37
106,0,70
107,0,38
106,0,65
106,0,23
107,0,4
106,0,94
107,1,101
107,0,94
106,0,14
106,0,89
106,0,2
106,0,98
105,1,14
106,0,44
104,0,92
104,0,3
107,0,3
104,0,37
106,0,3
107,0,36
106,0,18
105,1,103
107,0,97
104,0,38
112,0,31
106,0,46
106,0,33
106,0,66
106,0,4
106,0,99
104,0,66
107,1,23
106,0,24
109,0,1
107,0,34
104,0,31
104,1,13
109,0,10
109,0,5
106,0,90
106,0,5
107,1,13
109,0,67
106,0,42
106,0,34
104,1,21
107,1,45
106,0,72
105,1,66
106,0,15
104,0,32
106,0,56
106,0,91
106,0,80
107,0,37
104,1,7
111,0,31
110,0,31
107,0,47
109,0,0
105,0,99
105,1,27
106,0,81
107,0,9
109,0,21
107,0,98
109,0,36
104,0,27
106,0,19
109,0,34
104,1,45
105,1,33
106,0,71
105,1,102
106,0,69
104,0,1
109,0,13
106,0,20
106,0,67
107,0,35
106,0,60
104,0,10
106,0,75
106,0,74
104,0,4
106,0,86
108,0,34
107,0,2
104,0,9
106,0,54
105,0,31
106,0,61
106,0,16
106,0,32
109,0,33
106,0,58
106,0,9
105,0,90
105,1,101
107,0,32
107,1,62
106,0,84
106,0,47
106,0,59
107,1,90
105,0,0
106,0,29
106,0,26
105,1,10
106,0,48
105,1,67
107,0,82
107,0,5
109,0,2
109,0,45
106,0,51
106,0,52
105,1,80
107,0,95
106,0,87
106,0,53
106,0,28
106,0,88
105,1,60
104,0,62
106,0,41
105,0,2
106,0,43
105,1,79
104,1,14
94,3,79
65,3,51
87,3,43
49,3,15
96,3,3
89,3,52
40,3,19
45,3,36
83,3,73
54,3,2
95,3,14
64,3,21
59,3,12
35,3,0
101,3,57
93,3,81
56,3,17
26,3,25
61,3,38
65,3,54
42,3,12
85,3,6
81,3,48
51,3,34
30,3,4
73,3,35
46,3,28
46,3,20
94,3,32
86,3,48
15,3,0
94,3,67
45,3,12
100,3,59
103,3,87
97,3,10
58,3,26
89,3,64
93,3,85
69,3,65
28,3,10
88,3,73
96,3,67
68,3,45
87,3,86
23,3,9
44,3,31
95,3,63
60,3,40
90,3,72
70,3,42
68,3,0
82,3,17
64,3,52
34,3,14
32,3,21
96,3,29
84,3,51
17,3,0
52,3,16
52,3,29
101,3,13
56,3,47
83,3,81
25,3,13
67,3,42
32,3,12
51,3,30
53,3,45
58,3,55
36,3,1
28,3,26
38,3,18
34,3,6
99,3,57
100,3,77
62,3,11
36,3,35
92,3,73
53,3,37
95,3,61
21,3,3
67,3,59
49,3,42
100,3,3
103,3,48
35,3,29
100,3,1
85,3,69
6,3,5
52,3,37
53,3,24
73,3,12
48,3,37
74,3,51
103,3,83
18,3,11
65,3,38
73,3,37
20,3,10
103,3,47
